title,date,victim,malware_names,threat,impacts,location,data_source_link_url
Mass Cyberattack on Internet Servers and Online Industrial Platforms in Russia,08/24/2024,,,Hackers of Ukraine’s military intelligence agency (HUR),IT,Russia,https://icsstrive.com/incident/mass-cyberattack-on-internet-servers-and-online-industrial-platforms-in-russia/
"Atlanta, Georgia-based EPI Breads suffered a Cyberattack",08/22/2024,EPI Breads,,,IT  Privacy,United States,https://icsstrive.com/incident/atlanta-georgia-based-epi-breads-suffered-a-cyberattack/
"IT Systems Offline, Operations not Affected at Energy Company Stadtwerke Burg",08/22/2024,Stadtwerke Burg,,,IT,Germany,https://icsstrive.com/incident/it-systems-offline-operations-not-affected-at-energy-company-stadtwerke-burg/
Halliburton Takes Systems Offline following Cyberattack,08/21/2024,Halliburton,,RansomHub RaaS,OT IT,United States,https://icsstrive.com/incident/haliburton-takes-systems-offline-following-cyberattack/
Data breach at Banham Poultry Plant in UK,08/18/2024,Banham Poultry,,,IT  Privacy,United Kingdom,https://icsstrive.com/incident/data-breach-at-banham-poultry-plant-in-uk/
Microchip Technology Manufacturing Operations Disrupted After Cyberattack,08/17/2024,Microchip Technology,,"Play, aka PlayCrypt",OT IT,United States,https://icsstrive.com/incident/microchip-technology-manufacturing-operations-disrupted-after-cyberattack/
Phishing Attack Dupes Orion Carbon Out of $60M,08/10/2024,Orion Carbon,,,IT  Privacy,Luxembourg,https://icsstrive.com/incident/phishing-attack-dupes-orion-carbon-out-of-60m/
Swiss Machine Manufacturer Schlatter Industries Falls Victim to Ransomware Attack,08/09/2024,Schlatter Industries,,,IT,Switzerland,https://icsstrive.com/incident/swiss-machine-manufacturer-schlatter-industries-falls-victim-to-ransomware-attack/
Australian Evolution Mining Quickly Contains Ransomware Attack,08/08/2024,Evolution Mining,,,IT,Australia,https://icsstrive.com/incident/australian-evolution-mining-quickly-contains-ransomware-attack/
Epson Korea Cyberattack Affects 350000 Customers,08/08/2024,"Epson Korea Co., Ltd.",,,IT,Korea,https://icsstrive.com/incident/epson-korea-cyberattack-affects-350000-customers/
"Arms Maker, Saeilo, Suffers Ransomware Attack",08/08/2024,Saeilo Enterprises Inc.,,,IT,United States,https://icsstrive.com/incident/arms-maker-saeilo-suffers-ransomware-attack/
Cyberattack against Mobile Guardian Results in Remote Wiping of School Devices.,08/04/2024,Mobile Guardian,,,IT  Privacy,"Singapore, United Kingdom",https://icsstrive.com/incident/cyberattack-against-mobile-guardian-results-in-remote-wiping-of-school-devices/
"ADT, Physical Security Giant, Hit in Cyberattack",08/03/2024,ADT Inc.,,,IT,United States,https://icsstrive.com/incident/adt-physical-security-giant-hit-in-cyberattack/
"US Medical Device Manufacturing Company, Noble Biomaterials, hit by Ransomware Attack",08/03/2024,"Noble Biomaterials, Inc.",,,IT  Privacy,United States,https://icsstrive.com/incident/us-medical-device-manufacturing-company-noble-biomaterials-hit-by-ransomware-attack/
Cyberattack at Oil & Gas Exploration Investor Anderson Feazel,07/31/2024,Anderson Feazel,,,IT  Privacy,United States,https://icsstrive.com/incident/cyberattack-at-oil-gas-exploration-investor-anderson-feazel/
Data Compromised at Mexican Precious Metals Mining Firm Fresnillo,07/30/2024,Fresnillo,,,IT,Mexico,https://icsstrive.com/incident/data-compromised-at-mexican-precious-metals-mining-firm-fresnillo/
Malware Cloaked as Fixes and Updates Exploit Global Crowdstrike Outage,07/30/2024,Crowdstrike,Phishing Attack,,IT,United States,https://icsstrive.com/incident/malware-cloaked-as-fixes-and-updates-exploit-global-crowdstrike-outage/
Microsoft Azure Outage Amplified by Fumbled DDoS Defense Strategy Implementation,07/30/2024,Microsoft,DDoS Attack,,IT,United States,https://icsstrive.com/incident/microsoft-azure-outage-amplified-by-fumbled-ddos-defense-strategy-implementation/
Government Services Disrupted in Kentucky,07/29/2024,Kentucky State Government,,,IT,United States,https://icsstrive.com/incident/government-services-disrupted-in-kentucky/
Payment Services impacted at Rural Indian Banks after Ransomware Attack,07/29/2024,C-Edge Technologies,,,,India,https://icsstrive.com/incident/payment-services-impacted-at-rural-indian-banks-after-ransomware-attack/
TEAM Software Suffers Cyberattack,07/25/2024,TEAM Software,,,IT,United States,https://icsstrive.com/incident/team-software-suffers-cyberattack/
Blue Ridge Rural Water Company Hit by Cyberattack,07/23/2024,"Blue Ridge Rural Water Company, Inc.",,,IT,United States,https://icsstrive.com/incident/blue-ridge-rural-water-company-hit-by-cyberattack/
TABASCO Plant Hit by Ransomware Attack,07/22/2024,McIlhenny Company,,,IT  Privacy,United States,https://icsstrive.com/incident/tabasco-plant-hit-by-ransomware-attack/
Databreach at Large North American Natural Stone Manufacturer,07/20/2024,Granit Design,,,IT  Privacy,Canada,https://icsstrive.com/incident/databreach-at-large-north-american-natural-stone-manufacturer/
Rhysida Demands $1.9M from Ohio State Government for Sensitive Exfiltrated Data,07/18/2024,Ohio State Government,,Rhysida Ransomware Group,IT,United States,https://icsstrive.com/incident/rhysida-ransomware-gang-demands-1-9m-from-ohio-state-government-for-sensitive-exfiltrated-data/
City of Columbus Hackers Leak over 3TB Data,07/18/2024,City of Columbus OH,,Rhysida Ransomware Group,IT  Privacy,United States,https://icsstrive.com/incident/city-of-columbus-hackers-leak-over-3tb-data/
“Significant Blow” to Data Privacy at BMW Hong Kong,07/16/2024,BMW,,,IT  Privacy,Hong Kong,https://icsstrive.com/incident/significant-blow-to-data-privacy-at-bmw-hong-kong/
Safety Supplier Cadre Holdings Hit In Cyberattack,07/15/2024,Cadre Holdings Inc.,,,OT IT,United States,https://icsstrive.com/incident/safety-supplier-cadre-holdings-hit-in-cyberattack/
Solar Provider Hanwha Qcells sees Data Leaked Online,07/14/2024,Hanwha Qcells,,,IT,Germany,https://icsstrive.com/incident/solar-provider-hanwha-qcells-sees-data-leaked-online/
Data Breach at German Waste Disposal Company,07/13/2024,MERB,,,IT,Germany,https://icsstrive.com/incident/data-breach-at-german-waste-disposal-company/
Ransomware Attack Shuts Down Large US Furniture Company,07/10/2024,Bassett Furniture,,,OT IT,United States,https://icsstrive.com/incident/ransomware-attack-shuts-down-large-us-furniture-company/
"Databreach at Upstream Engineering Firm, Netherland, Sewell & Associates, Inc. (NSAI)",07/10/2024,"Netherland, Sewell & Associates, Inc. (NSAI)",,,IT  Privacy,United States,https://icsstrive.com/incident/databreach-at-upstream-engineering-firm-netherland-sewell-associates-inc-nsai/
Sibanye-Stillwater reports Limited Disruptions in Mining and Metals Processing Operations,07/08/2024,Sibanye-Stillwater,,,OT IT,South Africa,https://icsstrive.com/incident/sibanye-stillwater-reports-limited-disruptions-in-mining-and-metals-processing-operations/
Manual Woodworkers And Weavers Suffers Cyberattack,07/08/2024,Cyberattack At Manual Woodworkers And Weavers,,,IT,United States,https://icsstrive.com/incident/manual-woodworkers-and-weavers-suffers-cyberattack/
Ransomware Attack at Engineering and Construction Company Hiap Seng Industries,07/03/2024,Hiap Seng Engineering Ltd.,Unknown ransomware variant,,IT,Singapore,https://icsstrive.com/incident/ransomware-attack-at-engineering-and-construction-company-hiap-seng-industries/
"Databreach at TotalEnergies exposes over 200,000 Customers",07/03/2024,TotalEnergies SE,,,IT,Spain,https://icsstrive.com/incident/databreach-at-totalenergies-exposes-over-200000-customers/
Ransomware Attack at Soon Lian Holdings,07/03/2024,Soon Lian Holdings Ltd,,,IT,Singapore,https://icsstrive.com/incident/ransomware-attack-at-soon-lian-holdings/
Cyberattack at AKG Group Shuts Down of IT infrastructure and Restricts Production,07/02/2024,AKG Group,,,,Germany,https://icsstrive.com/incident/cyberattack-at-akg-group-shuts-down-of-it-infrastructure-and-restricts-production/
NC City Payment System Compromised After July Attack,07/02/2024,"City of Apex, NC",,,IT  Privacy,United States,https://icsstrive.com/incident/nc-city-payment-system-compromised-after-july-attack/
"Illegal App Renders 80% of Bicycles Out of Use in Bologna, Italy",06/30/2024,,,,OT IT,Italy,https://icsstrive.com/incident/illegal-app-renders-80-of-bicycles-out-of-use-in-bologna-italy/
Flooring Manufacturer Congoleum Hit In Cyberattack,06/30/2024,"Congoleum Acquisition, LLC",,,IT  Privacy,United States,https://icsstrive.com/incident/flooring-manufacturer-congoleum-hit-in-cyberattack/
Composite Material Producer Suffered Cyberattack,06/28/2024,The Gill Corporation (TGC),,,IT  Privacy,United States,https://icsstrive.com/incident/composite-material-producer-suffered-cyberattack/
Operations Disrupted at Co-op locations in Western Canada,06/26/2024,Federated Co-operatives Limited (FCL,,,,Canada,https://icsstrive.com/incident/operations-disrupted-at-co-op-locations-in-western-canada/
Cyberattack Hits One Of Iceland’s Largest Media Outlets,06/23/2024,Árvakur,,Akira Ransomware Gang,OT IT,Iceland,https://icsstrive.com/incident/cyberattack-hits-one-of-icelands-largest-media-outlets/
Philippines Maxicare Hit by Cyberattack,06/21/2024,Maxicare,,,IT  Privacy,Philippines,https://icsstrive.com/incident/philippines-maxicare-hit-by-cyberattack/
Philippines’ Largest Fast-food Chain hit by Data Breach,06/21/2024,Jollibee Foods Corporation,,,IT  Privacy,Philippines,https://icsstrive.com/incident/philippines-largest-fast-food-chain-hit-by-data-breach/
Large Scale Data Breach Disrupts >200 Indonesian Government Agencies,06/20/2024,Indonesian Government,Ransomware – unknown,Brain Cipher,IT,Indonesia,https://icsstrive.com/incident/large-scale-data-breach-disrupts-200-indonesian-government-agencies/
BlackSuit Ransomware Attack at CDK Global Causes Widespread Disruption,06/19/2024,CDK Software,,BlackSuit,OT IT,"Global, United States",https://icsstrive.com/incident/blacksuit-ransomware-attack-at-cdk-global-causes-widespread-disruption/
Cyberattack at Singaporean F&B group YKGI,06/19/2024,Singaporean F&B group YKGI,,,IT  Privacy,Singapore,https://icsstrive.com/incident/cyberattack-at-singaporean-fb-group-ykgi/
AMD Investigates Potential Cyberattack by IntelBroker,06/19/2024,AMD – Advanced Micro Devices,,,IT  Privacy,United States,https://icsstrive.com/incident/amd-investigates-potential-cyberattack-by-intelbroker/
Sandhar Automotive Component Manufacturer Disclosed Cyber Incident,06/19/2024,Sandhar Technologies Limited,,,,India,https://icsstrive.com/incident/sandhar-automotive-component-manufacturer-disclosed-cyber-incident/
Cyber Incident at Grendi Group,06/18/2024,Grendi Group,,,IT,Italy,https://icsstrive.com/incident/cyber-incident-at-grendi-group/
Cyberattack Shuts Down Distribution at Israeli Pharma Company Rekah,06/17/2024,Rekah,,,,Israel,https://icsstrive.com/incident/cyberattack-shuts-down-distribution-at-israeli-pharma-company-rekah/
Multiple Data Breaches at Maritime Industry Authority (MARINA),06/16/2024,Maritime Industry Authority (MARINA),,,IT  Privacy,Philippines,https://icsstrive.com/incident/multiple-data-breaches-at-maritime-industry-authority-marina/
Multiple Day Outage at Oahu Transit Services.,06/15/2024,Oahu Transit Services,Unknown ransomware variant,,IT,United States,https://icsstrive.com/incident/multiple-day-outage-at-oahu-transit-services/
Databreach at Stillwater Mining Company,06/15/2024,Stillwater Mining Company,,,IT  Privacy,United States,https://icsstrive.com/incident/databreach-at-stillwater-mining-company/
Ransomware Attack at Dutch Eurotrol B.V.,06/13/2024,,,BlackSuit,IT,Netherlands,https://icsstrive.com/incident/ransomware-attack-at-dutch-eurotrol-b-v/
Leading Semiconductor Material Manufacturer Falls Victim to Ransomware Attack,06/12/2024,MEMC LLC,,Black Basta Group,IT,United States,https://icsstrive.com/incident/leading-semiconductor-material-manufacturer-falls-victim-to-ransomware-attack/
Communication Channels Deactivated after Authorities Alert German Tipper Manufacturer,06/12/2024,Meiller Kipper,,,IT,Germany,https://icsstrive.com/incident/communication-channels-deactivated-after-authorities-alert-german-tipper-manufacturer/
Ransomware Attack on German Steel Company,06/09/2024,Westfälische Stahlgesellschaft group,,,IT,Germany,https://icsstrive.com/incident/ransomware-attack-on-german-steel-company/
Nearly All Systems Offline for Weeks at Global Forklift Manufacturer,06/08/2024,Crown Equipment Corporation,Ransomware – Unknown group or variant,,OT IT,"Global, United States",https://icsstrive.com/incident/nearly-all-systems-offline-for-week-at-large-us-forklift-manufacturer/
Entire Kadokawa Corporation Disrupted as Result of Ransomware Attack,06/08/2024,Kadokawa Corporation,,,OT IT,Japan,https://icsstrive.com/incident/entire-kadokawa-corporation-disrupted-as-result-of-ransomware-attack/
Threat Actor targets Russia’s Aviation Sector.,06/07/2024,Russian Aviation Industry,Phishing Attack,Sticky Werewolf,IT,"Belarus, Russia",https://icsstrive.com/incident/threat-actor-targets-russias-aviation-sector/
Panasonic Australia confirms Ransomware Incident,06/07/2024,Panasonic,,,IT,Australia,https://icsstrive.com/incident/panasonic-australia-confirms-ransomware-incident/
Ransomware Attack at Vietnam Post Takes Systems Offline,06/04/2024,Vietnam Post,Unknown ransomware variant,,OT IT,Vietnam,https://icsstrive.com/incident/ransomware-attack-at-vietnam-post-takes-systems-offline/
RansomHub Breaches Network of Taiwanese Laptop Manufacturer,06/04/2024,Clevo,,RansomHub RaaS,IT  Privacy,Taiwan,https://icsstrive.com/incident/ransomhub-breaches-network-of-taiwanese-laptop-manufacturer/
"Oil Spill Cleanup Equipment Maker, Elastec, Hit In Cyberattack",06/04/2024,Elastec,,,IT,United States,https://icsstrive.com/incident/oil-spill-cleanup-equipment-maker-elastec-hit-in-cyberattack/
Ransomware attack at Synnovis Throws  >3000 UK Hospitals into Chaos,06/03/2024,Synnovis,,Qilin,OT IT  Privacy,United Kingdom,https://icsstrive.com/incident/ransomware-attack-at-synnovis-throws-3000-hospitals-into-chaos/
BlackBasta Ransomware Attack on German Lambertz Baked Goods,05/30/2024,Lambertz – officially Aachener Printen- und Schokoladenfabrik Henry Lambertz GmbH & Co,,Black Basta Group,IT,Germany,https://icsstrive.com/incident/blackbasta-ransomware-attack-on-german-lambertz-baked-goods/
"Databreach at Chemical Manufacturing and Research Company, Ortec.",05/28/2024,"Ortec, Inc.",,,IT  Privacy,,https://icsstrive.com/incident/databreach-at-chemical-manufacturing-and-research-company-ortec/
Online Ticket System Offline for One Day at Hamburger Verkehrsverbund.,05/28/2024,Hamburger Verkehrsverbund,,,,Germany,https://icsstrive.com/incident/online-ticket-system-offline-for-one-day-at-hamburger-verkehrsverbund/
Allied Telesis Data Breach Claimed by LockBit,05/27/2024,Allied Telesis,,LockBit,IT  Privacy,"Japan, United States",https://icsstrive.com/incident/allied-telesis-data-breach-claimed-by-lockbit/
Cyberattack at Apparel Maker Varsity Brands,05/22/2024,Varsity Brands,,,IT,United States,https://icsstrive.com/incident/cyberattack-at-apparel-maker-varsity-brands/
Ransomware Attack at Major U.S. Oil and Fuel Distributor Atlas Oil,05/22/2024,Atlas Oil,,Black Basta Group,IT,United States,https://icsstrive.com/incident/ransomware-attack-at-major-u-s-oil-and-fuel-distributor-atlas-oil/
"Well Servicing Contractor, MMI Services, Hit in Cyberattack",05/21/2024,"MMI Services, Inc.",,,IT,United States,https://icsstrive.com/incident/well-servicing-contractor-mmi-services-hit-in-cyberattack/
Hamburg Airport Fends Off Hacker Attack,05/19/2024,Hamburg Airport,,Killmilk/Just Evil,IT,Germany,https://icsstrive.com/incident/hamburg-airport-fends-off-hacker-attack/
Ransomhub Targets SCADA System of Spanish Meat Processing Plant,05/18/2024,Matadero de Gijón,,RansomHub RaaS,OT IT,Spain,https://icsstrive.com/incident/ransomhub-targets-scada-system-of-spanish-meat-processing-plant/
Data Leak at Alexion Pharmaceuticals after Vendor’s Systems Compromised,05/14/2024,"Cisiv, Alexion Pharmaceuticals, Inc.",,,IT  Privacy,"Canada, Europe, Global, Japan, Mexico, Portugal, United Kingdom of Britain & Northern Ireland, United States",https://icsstrive.com/incident/data-leak-at-alexion-pharmaceuticals-after-vendors-systems-compromised/
Sumo Energy Confirms Extensive Data Breach,05/13/2024,Sumo,,,IT,Australia,https://icsstrive.com/incident/sumo-energy-confirms-extensive-data-breach/
Ransomware Attack at Kulicke and Soffa Industries,05/12/2024,Kulicke and Soffa Industries (K&S),,,IT,United States,https://icsstrive.com/incident/ransomware-attack-at-kulicke-and-soffa-industries/
German Machinery Manufacturer LEMKEN Halts Production Sites,05/11/2024,Lemken,,,,Germany,https://icsstrive.com/incident/german-machinery-manufacturer-lemken-halts-production-sites/
Operations Down at Water & Complex Waste Waste Plant Manufacturer Wehrle,05/11/2024,Wehrle-Werk AG,,,,Germany,https://icsstrive.com/incident/operations-down-at-water-complex-waste-water-plant-manufacturer-wehrle/
Keytronic takes over $17 Million hit After Cyberatttack,05/06/2024,Keytronic (Key Tronic),,Black Basta Group,OT IT  Privacy,United States,https://icsstrive.com/incident/keytronic-takes-over-17-million-hit-after-cyberatttack/
Spanish Energy Giant Hit by Cyberattack,05/06/2024,Iberdrola,,,IT  Privacy,Spain,https://icsstrive.com/incident/spanish-energy-giant-hit-by-cyberattack/
"Ransomware Attack at US Oldenburg Group, supplier of Performance Engineered Products",05/04/2024,Oldenburg Group,,"Play, aka PlayCrypt",,United States,https://icsstrive.com/incident/ransomware-attack-at-us-oldenburg-group-supplier-of-performance-engineered-products/
Wichita City Ransomware Attack Shuts Down Services,05/03/2024,City of Wichita,,LockBit,IT  Privacy,United States,https://icsstrive.com/incident/wichita-city-ransomware-attack-shuts-down-services/
Cyberattack on European Astronomical Research Institution,05/01/2024,European Southern Observatory (ESO),,,IT,Germany,https://icsstrive.com/incident/cyberattack-on-european-astronomical-research-institution/
Cyberattack on Municipal Waste Disposal Company in Germany,05/01/2024,AbfallWirtschaftsGesellschaft mbH (AWG),,,IT,Germany,https://icsstrive.com/incident/cyberattack-on-municipal-waste-disposal-company-in-germany/
IT Systems Compromised at Eni’s Libya Joint Venture Mellitah Oil & Gas,04/30/2024,"Mellitah Oil & Gas Company, Eni",,RansomHub RaaS,IT,Libya,https://icsstrive.com/incident/it-systems-compromised-at-enis-libya-joint-venture-mellitah-oil-gas/
Personal Information Exfiltrated at Noritsu America Corporation,04/29/2024,Noritsu,,,IT  Privacy,United States,https://icsstrive.com/incident/personal-information-exfiltrated-at-noritsu-america-corporation/
Canadian London Drugs Refused to Pay $25M Ransom,04/28/2024,London Drugs,,LockBit,Privacy,Canada,https://icsstrive.com/incident/canadian-london-drugs-refused-to-pay-25m-ransom/
Dynamo Software hit by Ransomware Attack,04/27/2024,Dynamo Software,,,IT,United States,https://icsstrive.com/incident/dynamo-software-hit-by-ransomware-attack/
Fiskars Group Suffers Cyberattack,04/26/2024,Fiskars Group,,,IT,United States,https://icsstrive.com/incident/fiskars-group-suffers-cyberattack/
Cyberattack at Max Wild GmbH takes IT Systems Offline,04/25/2024,Max Wild GmbH,,,IT,Germany,https://icsstrive.com/incident/cyberattack-at-max-wild-gmbh-takes-it-systems-offline/
Cyberattack at German Gas Warning Systems manufacturer,04/22/2024,Bieler + Lang,,8Base Ransomware Group,IT  Privacy,Germany,https://icsstrive.com/incident/cyberattack-at-german-gas-warning-systems-manufacturer/
Cyberattack at Indiana Water Plant,04/19/2024,Tipton Municipal Utilities,,Sandworm,IT,United States,https://icsstrive.com/incident/cyberattack-at-indiana-water-plant/
Ransomware Attack at Schuette,04/18/2024,Schuette Metals Inc.,,,IT,United States,https://icsstrive.com/incident/ransomware-attack-at-schuette/
